name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),North Electric (kW),South Electric (kW),Electric (kW),Steam (klbs/hr)
BakerLab.CW.FP/TONS,2024-01-02 00:00:00,D,12.992955208,Chilled Water,2024-01-02,12.992955208,126.134375000,129.584375000,255.71875,3.216815104
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-02 00:00:00,D,126.134375000,North Electric,2024-01-03,13.007653125,128.020833333,135.284375000,263.3052083,3.060652812
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-02 00:00:00,D,129.584375000,South Electric,2024-01-04,13.557838947,127.157291666,136.236458333,263.39375,3.229927604
BakerLab.STM.Flow,2024-01-02 00:00:00,D,3.216815104,Steam,2024-01-05,14.062176041,126.115625000,138.783333333,264.8989583,3.744389687
BakerLab.CW.FP/TONS,2024-01-03 00:00:00,D,13.007653125,Chilled Water,2024-01-06,15.503883333,124.197916666,137.191666666,261.3895833,3.803125000
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-03 00:00:00,D,128.020833333,North Electric,2024-01-07,15.410141666,124.097916666,134.313541666,258.4114583,3.383319375
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-03 00:00:00,D,135.284375000,South Electric,2024-01-08,15.350631250,126.782291666,146.627083333,273.409375,3.188085937
BakerLab.STM.Flow,2024-01-03 00:00:00,D,3.060652812,Steam,2024-01-09,15.834336458,129.239583333,147.676041666,276.915625,2.934578958
BakerLab.CW.FP/TONS,2024-01-04 00:00:00,D,13.557838947,Chilled Water,2024-01-10,15.246937500,129.242708333,143.770833333,273.0135417,2.272650729
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-04 00:00:00,D,127.157291666,North Electric,2024-01-11,15.790194791,128.070833333,146.470833333,274.5416667,2.902395312
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-04 00:00:00,D,136.236458333,South Electric,2024-01-12,16.732407368,127.633333333,153.457291666,281.090625,2.628754166
BakerLab.STM.Flow,2024-01-04 00:00:00,D,3.229927604,Steam,2024-01-13,16.904532291,125.978125000,148.129166666,274.1072917,2.359881145
BakerLab.CW.FP/TONS,2024-01-05 00:00:00,D,14.062176041,Chilled Water,2024-01-14,17.824745833,124.646875000,146.462500000,271.109375,3.513837916
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-05 00:00:00,D,126.115625000,North Electric,2024-01-15,17.736450000,126.578125000,150.790625000,277.36875,4.551396770
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-05 00:00:00,D,138.783333333,South Electric,2024-01-16,15.962188541,128.119791666,154.915625000,283.0354167,4.314848541
BakerLab.STM.Flow,2024-01-05 00:00:00,D,3.744389687,Steam,2024-01-17,14.227517187,130.629166666,144.848958333,275.478125,4.873401145
BakerLab.CW.FP/TONS,2024-01-06 00:00:00,D,15.503883333,Chilled Water,2024-01-18,15.489138333,130.442708333,147.845833333,278.2885417,4.363681458
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-06 00:00:00,D,124.197916666,North Electric,2024-01-19,15.067607291,132.227083333,145.673958333,277.9010417,4.258049479
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-06 00:00:00,D,137.191666666,South Electric,2024-01-20,14.560347916,127.052083333,134.177083333,261.2291667,4.943339062
BakerLab.STM.Flow,2024-01-06 00:00:00,D,3.803125000,Steam,2024-01-21,14.856762500,126.580208333,132.993750000,259.5739583,4.679253125
BakerLab.CW.FP/TONS,2024-01-07 00:00:00,D,15.410141666,Chilled Water,2024-01-22,15.226495833,133.318750000,145.559375000,278.878125,4.201463020
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-07 00:00:00,D,124.097916666,North Electric,2024-01-23,15.742887500,134.726041666,147.571875000,282.2979167,3.148733125
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-07 00:00:00,D,134.313541666,South Electric,2024-01-24,16.372813020,132.233333333,147.642708333,279.8760417,2.875922083
BakerLab.STM.Flow,2024-01-07 00:00:00,D,3.383319375,Steam,2024-01-25,17.328203125,133.909375000,147.176041666,281.0854167,2.335778854
BakerLab.CW.FP/TONS,2024-01-08 00:00:00,D,15.350631250,Chilled Water,2024-01-26,17.008527083,133.623958333,147.397916666,281.021875,2.037883958
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-08 00:00:00,D,126.782291666,North Electric,2024-01-27,17.307853125,125.666666666,143.368750000,269.0354167,2.658024479
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-08 00:00:00,D,146.627083333,South Electric,2024-01-28,17.265078947,125.536458333,142.284375000,267.8208333,2.508089166
BakerLab.STM.Flow,2024-01-08 00:00:00,D,3.188085937,Steam,2024-01-29,17.012947916,140.597916666,152.945833333,293.54375,3.463924479
BakerLab.CW.FP/TONS,2024-01-09 00:00:00,D,15.834336458,Chilled Water,2024-01-30,16.870917083,140.207291666,151.209375000,291.4166667,3.507689479
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-09 00:00:00,D,129.239583333,North Electric,2024-01-31,17.178417708,140.393750000,154.983333333,295.3770833,3.134563958
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-09 00:00:00,D,147.676041666,South Electric,2024-02-01,16.982840625,143.993750000,156.663541666,300.6572917,2.855920625
BakerLab.STM.Flow,2024-01-09 00:00:00,D,2.934578958,Steam,2024-02-02,17.019910416,142.236458333,156.887500000,299.1239583,2.934824791
BakerLab.CW.FP/TONS,2024-01-10 00:00:00,D,15.246937500,Chilled Water,2024-02-03,16.968650537,128.589583333,140.695833333,269.2854167,3.231705520
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-10 00:00:00,D,129.242708333,North Electric,2024-02-04,15.664818750,126.561458333,132.354166666,258.915625,3.200108333
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-10 00:00:00,D,143.770833333,South Electric,2024-02-05,15.464358333,141.708333333,146.590625000,288.2989583,3.337598437
BakerLab.STM.Flow,2024-01-10 00:00:00,D,2.272650729,Steam,2024-02-06,16.111213541,140.118750000,153.765625000,293.884375,3.681033750
BakerLab.CW.FP/TONS,2024-01-11 00:00:00,D,15.790194791,Chilled Water,2024-02-07,15.769204166,136.907291666,153.546875000,290.4541667,3.307432916
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-11 00:00:00,D,128.070833333,North Electric,2024-02-08,14.242012500,139.575000000,153.310416666,292.8854167,2.400889895
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-11 00:00:00,D,146.470833333,South Electric,2024-02-09,13.691845833,141.411458333,151.783333333,293.1947917,1.648834270
BakerLab.STM.Flow,2024-01-11 00:00:00,D,2.902395312,Steam,2024-02-10,13.638927083,128.477083333,130.144791666,258.621875,1.387399375
BakerLab.CW.FP/TONS,2024-01-12 00:00:00,D,16.732407368,Chilled Water,2024-02-11,13.856037500,125.035416666,126.797916666,251.8333333,2.440816562
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-12 00:00:00,D,127.633333333,North Electric,2024-02-12,13.469183157,139.892708333,138.701041666,278.59375,3.142447916
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-12 00:00:00,D,153.457291666,South Electric,2024-02-13,12.494123958,139.951041666,138.888541666,278.8395833,3.200660729
BakerLab.STM.Flow,2024-01-12 00:00:00,D,2.628754166,Steam,2024-02-14,15.926631250,139.665625000,148.583333333,288.2489583,3.994628750
BakerLab.CW.FP/TONS,2024-01-13 00:00:00,D,16.904532291,Chilled Water,2024-02-15,19.937178494,144.476041666,157.684375000,302.1604167,3.857166770
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-13 00:00:00,D,125.978125000,North Electric,2024-02-16,19.393288541,146.734375000,153.414583333,300.1489583,3.492058437
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-13 00:00:00,D,148.129166666,South Electric,2024-02-17,16.972450000,134.023958333,130.081250000,264.1052083,3.833072916
BakerLab.STM.Flow,2024-01-13 00:00:00,D,2.359881145,Steam,2024-02-18,19.735262500,130.992708333,135.821875000,266.8145833,3.972531562
BakerLab.CW.FP/TONS,2024-01-14 00:00:00,D,17.824745833,Chilled Water,2024-02-19,16.684215625,143.108333333,135.850000000,278.9583333,4.019957291
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-14 00:00:00,D,124.646875000,North Electric,2024-02-20,16.913818947,143.182291666,141.409375000,284.5916667,4.225917812
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-14 00:00:00,D,146.462500000,South Electric,2024-02-21,18.726039583,141.910416666,149.312500000,291.2229167,3.051969166
BakerLab.STM.Flow,2024-01-14 00:00:00,D,3.513837916,Steam,2024-02-22,18.902923958,143.976041666,148.437500000,292.4135417,2.993567604
BakerLab.CW.FP/TONS,2024-01-15 00:00:00,D,17.736450000,Chilled Water,2024-02-23,19.116726041,145.503125000,144.308333333,289.8114583,2.451874479
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-15 00:00:00,D,126.578125000,North Electric,2024-02-24,18.659797916,132.996875000,132.565625000,265.5625,3.786846250
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-15 00:00:00,D,150.790625000,South Electric,2024-02-25,16.928683333,131.985416666,128.035416666,260.0208333,3.819542291
BakerLab.STM.Flow,2024-01-15 00:00:00,D,4.551396770,Steam,2024-02-26,17.711631578,140.188541666,136.968750000,277.1572917,2.166723958
BakerLab.CW.FP/TONS,2024-01-16 00:00:00,D,15.962188541,Chilled Water,2024-02-27,22.961672916,138.779166666,141.581250000,280.3604167,1.527933333
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-16 00:00:00,D,128.119791666,North Electric,2024-02-28,7.693141052,136.871875000,126.788541666,263.6604167,1.266883437
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-16 00:00:00,D,154.915625000,South Electric,2024-02-29,6.607101875,135.931250000,134.089583333,270.0208333,3.829081875
BakerLab.STM.Flow,2024-01-16 00:00:00,D,4.314848541,Steam,2024-03-01,21.437802083,145.398958333,159.082291666,304.48125,3.268712187
BakerLab.CW.FP/TONS,2024-01-17 00:00:00,D,14.227517187,Chilled Water,2024-03-02,20.554098958,132.405208333,142.480208333,274.8854167,2.279835729
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-17 00:00:00,D,130.629166666,North Electric,2024-03-03,20.332334375,131.068750000,136.190625000,267.259375,1.863592291
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-17 00:00:00,D,144.848958333,South Electric,2024-03-04,41.118458333,148.587500000,151.100000000,299.6875,1.505653229
BakerLab.STM.Flow,2024-01-17 00:00:00,D,4.873401145,Steam,2024-03-05,23.066156842,146.320833333,151.042708333,297.3635417,1.332079479
BakerLab.CW.FP/TONS,2024-01-18 00:00:00,D,15.489138333,Chilled Water,2024-03-06,21.061771875,148.327083333,151.406250000,299.7333333,1.520079895
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-18 00:00:00,D,130.442708333,North Electric,2024-03-07,21.164628125,149.312500000,159.041666666,308.3541667,2.560422291
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-18 00:00:00,D,147.845833333,South Electric,2024-03-08,21.250411458,151.489583333,157.971875000,309.4614583,2.325237812
BakerLab.STM.Flow,2024-01-18 00:00:00,D,4.363681458,Steam,2024-03-09,21.275952083,138.651041666,147.348958333,286,2.003678437
BakerLab.CW.FP/TONS,2024-01-19 00:00:00,D,15.067607291,Chilled Water,2024-03-10,21.072354166,138.423958333,144.578125000,283.0020833,2.674317395
BakerLab.Elec.North.PowerScout3/kW_System,2024-01-19 00:00:00,D,132.227083333,North Electric,2024-03-11,20.705432291,149.216666666,156.507291666,305.7239583,3.268920625
BakerLab.Elec.South.PowerScout3/kW_System,2024-01-19 00:00:00,D,145.673958333,South Electric,2024-03-12,20.647673958,149.202083333,159.842708333,309.0447917,2.099512395
