name,slottime_GMT,slottype,slotavg,pointTitle,Date,Electric (kW),Steam (lbs/hr)
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-02 00:00:00,D,43.216666666,,2024-01-02,43.216666666,680.516398958
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-02 00:00:00,D,680.516398958,Steam,2024-01-03,44.504166666,646.194830208
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-03 00:00:00,D,44.504166666,,2024-01-04,44.746875000,685.034914583
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-03 00:00:00,D,646.194830208,Steam,2024-01-05,44.639583333,787.468120833
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-04 00:00:00,D,44.746875000,,2024-01-06,43.763541666,786.428471875
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-04 00:00:00,D,685.034914583,Steam,2024-01-07,43.514583333,733.771357291
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-05 00:00:00,D,44.639583333,,2024-01-08,44.310416666,680.903182291
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-05 00:00:00,D,787.468120833,Steam,2024-01-09,44.789583333,635.247193750
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-06 00:00:00,D,43.763541666,,2024-01-10,43.919791666,503.969525000
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-06 00:00:00,D,786.428471875,Steam,2024-01-11,44.602083333,611.270126041
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-07 00:00:00,D,43.514583333,,2024-01-12,44.742708333,571.420490625
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-07 00:00:00,D,733.771357291,Steam,2024-01-13,43.466666666,531.580869791
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-08 00:00:00,D,44.310416666,,2024-01-14,44.281250000,751.726078125
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-08 00:00:00,D,680.903182291,Steam,2024-01-15,46.134375000,842.836903125
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-09 00:00:00,D,44.789583333,,2024-01-16,46.609375000,856.319600000
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-09 00:00:00,D,635.247193750,Steam,2024-01-17,47.042708333,820.385229166
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-10 00:00:00,D,43.919791666,,2024-01-18,50.386458333,864.948480208
