name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Hot Water (kBTU/hr),Electric (kW),Solar (kW)
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-02 00:00:00,D,4.280442604,Chilled Water,2024-01-02,4.280442604,45.977711562,29.868258437,14.504226770
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-02 00:00:00,D,45.977711562,Hot Water Building Heat,2024-01-03,4.262943437,45.915167708,44.901883437,4.221198229
HuShihHall.Elec.PowerScout3HD/kW,2024-01-02 00:00:00,D,29.868258437,Electric,2024-01-04,4.011074270,46.651205729,37.199118333,8.695046875
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-02 00:00:00,D,14.504226770,Electric Solar submeter,2024-01-05,4.173153229,52.032941458,39.957539062,11.346255312
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-03 00:00:00,D,4.262943437,Chilled Water,2024-01-06,4.064861458,55.861127500,49.754995000,3.980920729
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-03 00:00:00,D,45.915167708,Hot Water Building Heat,2024-01-07,4.036527500,47.526662187,49.725438958,0.016338229
HuShihHall.Elec.PowerScout3HD/kW,2024-01-03 00:00:00,D,44.901883437,Electric,2024-01-08,4.092610729,44.756800625,49.139926666,0.071933020
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-03 00:00:00,D,4.221198229,Electric Solar submeter,2024-01-09,4.269092083,45.088934583,49.018503125,0.029042395
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-04 00:00:00,D,4.011074270,Chilled Water,2024-01-10,4.372893020,35.833618125,41.252013750,8.603532708
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-04 00:00:00,D,46.651205729,Hot Water Building Heat,2024-01-11,4.219356354,42.492897916,40.332536458,7.717053333
HuShihHall.Elec.PowerScout3HD/kW,2024-01-04 00:00:00,D,37.199118333,Electric,2024-01-12,4.197162708,39.018122187,28.016960729,20.970640937
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-04 00:00:00,D,8.695046875,Electric Solar submeter,2024-01-13,3.832416875,37.181005208,35.587889895,15.396398333
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-05 00:00:00,D,4.173153229,Chilled Water,2024-01-14,3.876344791,49.033992187,44.125810104,6.388873125
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-05 00:00:00,D,52.032941458,Hot Water Building Heat,2024-01-15,3.300157083,57.536164375,37.095003125,18.385682812
HuShihHall.Elec.PowerScout3HD/kW,2024-01-05 00:00:00,D,39.957539062,Electric,2024-01-16,3.697258437,58.592911041,50.033792500,0.670123125
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-05 00:00:00,D,11.346255312,Electric Solar submeter,2024-01-17,2.432376145,60.918950312,46.051487083,2.212967500
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-06 00:00:00,D,4.064861458,Chilled Water,2024-01-18,3.747752604,61.054737083,56.145731041,1.374280937
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-06 00:00:00,D,55.861127500,Hot Water Building Heat,2024-01-19,3.582941250,60.636040833,61.788218437,0.802645937
HuShihHall.Elec.PowerScout3HD/kW,2024-01-06 00:00:00,D,49.754995000,Electric,2024-01-20,0.448721458,69.599694270,62.573230625,0.664690729
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-06 00:00:00,D,3.980920729,Electric Solar submeter,2024-01-21,1.133192187,65.645673854,66.828147500,5.153933333
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-07 00:00:00,D,4.036527500,Chilled Water,2024-01-22,2.831283437,59.928579166,69.220456666,5.934978854
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-07 00:00:00,D,47.526662187,Hot Water Building Heat,2024-01-23,4.089241770,50.399365937,65.695335104,3.447161354
HuShihHall.Elec.PowerScout3HD/kW,2024-01-07 00:00:00,D,49.725438958,Electric,2024-01-24,4.209191666,50.053001666,68.132937291,3.687865833
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-07 00:00:00,D,0.016338229,Electric Solar submeter,2024-01-25,4.719173541,40.086296354,67.675580833,7.742500937
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-08 00:00:00,D,4.092610729,Chilled Water,2024-01-26,4.854300729,36.391779791,60.933058541,12.755237604
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-08 00:00:00,D,44.756800625,Hot Water Building Heat,2024-01-27,4.717234375,43.315501458,69.279965312,10.055735208
HuShihHall.Elec.PowerScout3HD/kW,2024-01-08 00:00:00,D,49.139926666,Electric,2024-01-28,4.892302604,43.711205104,75.274766145,4.483879583
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-08 00:00:00,D,0.071933020,Electric Solar submeter,2024-01-29,4.190788229,54.371497083,78.847928229,0.762126145
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-09 00:00:00,D,4.269092083,Chilled Water,2024-01-30,4.162851770,53.565311770,73.173007916,0.591309270
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-09 00:00:00,D,45.088934583,Hot Water Building Heat,2024-01-31,4.309909583,50.547117500,64.939386145,5.742631770
HuShihHall.Elec.PowerScout3HD/kW,2024-01-09 00:00:00,D,49.018503125,Electric,2024-02-01,4.556706041,49.828693229,70.691705937,4.315860729
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-09 00:00:00,D,0.029042395,Electric Solar submeter,2024-02-02,4.533100937,50.332788541,65.845353958,8.800532083
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-10 00:00:00,D,4.372893020,Chilled Water,2024-02-03,4.454093020,54.020732395,53.390587708,23.168802604
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-10 00:00:00,D,35.833618125,Hot Water Building Heat,2024-02-04,4.714427604,50.353476354,45.758368645,37.506619791
HuShihHall.Elec.PowerScout3HD/kW,2024-01-10 00:00:00,D,41.252013750,Electric,2024-02-05,4.345457604,49.169261979,44.930589270,30.171436875
