name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Electric (kW),Steam (lbs/hr)
MannLibrary.CW.FP/TONS,2024-01-02 00:00:00,D,4.747077708,Chilled Water,2024-01-02,4.747077708,112.601041666,2282.676875000
MannLibrary.Elec.PowerScout3/kW_System,2024-01-02 00:00:00,D,112.601041666,Electric,2024-01-03,4.381069687,117.978125000,1889.979333333
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-02 00:00:00,D,2282.676875000,Steam,2024-01-04,4.013835104,118.676041666,2025.424637362
MannLibrary.CW.FP/TONS,2024-01-03 00:00:00,D,4.381069687,Chilled Water,2024-01-05,5.347330000,116.876041666,2031.209093750
MannLibrary.Elec.PowerScout3/kW_System,2024-01-03 00:00:00,D,117.978125000,Electric,2024-01-06,4.686514062,93.518750000,2040.570416666
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-03 00:00:00,D,1889.979333333,Steam,2024-01-07,4.341888437,93.009375000,1904.260364583
MannLibrary.CW.FP/TONS,2024-01-04 00:00:00,D,4.013835104,Chilled Water,2024-01-08,5.115431562,118.466666666,1793.084146067
MannLibrary.Elec.PowerScout3/kW_System,2024-01-04 00:00:00,D,118.676041666,Electric,2024-01-09,5.775361666,120.197916666,1804.738995833
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-04 00:00:00,D,2025.424637362,Steam,2024-01-10,6.882697916,118.497916666,1376.320703125
MannLibrary.CW.FP/TONS,2024-01-05 00:00:00,D,5.347330000,Chilled Water,2024-01-11,4.982733684,119.045833333,1696.339456521
MannLibrary.Elec.PowerScout3/kW_System,2024-01-05 00:00:00,D,116.876041666,Electric,2024-01-12,5.388002708,118.071875000,1517.015189473
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-05 00:00:00,D,2031.209093750,Steam,2024-01-13,5.266632812,93.668750000,1404.862221875
MannLibrary.CW.FP/TONS,2024-01-06 00:00:00,D,4.686514062,Chilled Water,2024-01-14,4.496325625,93.707291666,1976.739500000
MannLibrary.Elec.PowerScout3/kW_System,2024-01-06 00:00:00,D,93.518750000,Electric,2024-01-15,4.185941562,95.071875000,2543.148343750
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-06 00:00:00,D,2040.570416666,Steam,2024-01-16,3.420619166,122.590625000,2521.587572916
MannLibrary.CW.FP/TONS,2024-01-07 00:00:00,D,4.341888437,Chilled Water,2024-01-17,4.278197291,118.045833333,2502.389208333
MannLibrary.Elec.PowerScout3/kW_System,2024-01-07 00:00:00,D,93.009375000,Electric,2024-01-18,4.022737500,126.090625000,2379.244177083
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-07 00:00:00,D,1904.260364583,Steam,2024-01-19,3.795889166,121.917708333,2268.266208333
MannLibrary.CW.FP/TONS,2024-01-08 00:00:00,D,5.115431562,Chilled Water,2024-01-20,3.734995625,105.004166666,2607.659210526
MannLibrary.Elec.PowerScout3/kW_System,2024-01-08 00:00:00,D,118.466666666,Electric,2024-01-21,4.080104062,107.631250000,2649.272489583
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-08 00:00:00,D,1793.084146067,Steam,2024-01-22,4.697158437,133.450000000,2369.692960416
MannLibrary.CW.FP/TONS,2024-01-09 00:00:00,D,5.775361666,Chilled Water,2024-01-23,4.661179270,137.312500000,1827.933422916
MannLibrary.Elec.PowerScout3/kW_System,2024-01-09 00:00:00,D,120.197916666,Electric,2024-01-24,5.533595625,138.329166666,1618.596500000
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-09 00:00:00,D,1804.738995833,Steam,2024-01-25,7.527373368,139.740625000,1321.624436842
MannLibrary.CW.FP/TONS,2024-01-10 00:00:00,D,6.882697916,Chilled Water,2024-01-26,14.440440000,136.906250000,1248.636346842
MannLibrary.Elec.PowerScout3/kW_System,2024-01-10 00:00:00,D,118.497916666,Electric,2024-01-27,5.803188333,100.995833333,1385.737302083
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-10 00:00:00,D,1376.320703125,Steam,2024-01-28,5.569104062,107.451041666,1386.557443750
MannLibrary.CW.FP/TONS,2024-01-11 00:00:00,D,4.982733684,Chilled Water,2024-01-29,3.270524583,132.893750000,1888.572427659
MannLibrary.Elec.PowerScout3/kW_System,2024-01-11 00:00:00,D,119.045833333,Electric,2024-01-30,5.371043958,139.802083333,1812.703885416
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-11 00:00:00,D,1696.339456521,Steam,2024-01-31,5.280433750,137.821875000,1658.969847916
MannLibrary.CW.FP/TONS,2024-01-12 00:00:00,D,5.388002708,Chilled Water,2024-02-01,5.433182708,138.669791666,1498.433014736
MannLibrary.Elec.PowerScout3/kW_System,2024-01-12 00:00:00,D,118.071875000,Electric,2024-02-02,4.912825937,137.005208333,1594.804494623
MannLibrary.STM.M22-V/AverageMassFlow,2024-01-12 00:00:00,D,1517.015189473,Steam,2024-02-03,3.934634166,109.742708333,1757.457937500
MannLibrary.CW.FP/TONS,2024-01-13 00:00:00,D,5.266632812,Chilled Water,2024-02-04,4.776938229,113.703125000,1682.870197916
