name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Steam (lbs/hr),Electric (kW),
PhysicalSciences.CW.FP/TONS,2024-01-02 00:00:00,D,64.709616666,Chilled Water,2024-01-02,64.709616666,2079.728062500,548.8104167,<- from clark hall data
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-02 00:00:00,D,2079.728062500,Steam,2024-01-03,66.232990000,1909.234020833,563.1614583,
PhysicalSciences.CW.FP/TONS,2024-01-03 00:00:00,D,66.232990000,Chilled Water,2024-01-04,69.240537500,2041.344375000,572.4729167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-03 00:00:00,D,1909.234020833,Steam,2024-01-05,68.849388541,2451.040375000,565.1958333,
PhysicalSciences.CW.FP/TONS,2024-01-04 00:00:00,D,69.240537500,Chilled Water,2024-01-06,72.263275000,2452.600385416,542.2927083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-04 00:00:00,D,2041.344375000,Steam,2024-01-07,71.942165625,2104.941322916,544.875,
PhysicalSciences.CW.FP/TONS,2024-01-05 00:00:00,D,68.849388541,Chilled Water,2024-01-08,72.294279166,2016.493541666,557.7458333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-05 00:00:00,D,2451.040375000,Steam,2024-01-09,72.605045833,1866.858250000,541.4604167,
PhysicalSciences.CW.FP/TONS,2024-01-06 00:00:00,D,72.263275000,Chilled Water,2024-01-10,44.544364583,1443.338795833,539.459375,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-06 00:00:00,D,2452.600385416,Steam,2024-01-11,51.807741666,1723.011781250,542.8427083,
PhysicalSciences.CW.FP/TONS,2024-01-07 00:00:00,D,71.942165625,Chilled Water,2024-01-12,56.380388541,1535.039864583,545.2208333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-07 00:00:00,D,2104.941322916,Steam,2024-01-13,57.908828125,1326.524012500,522.95,
PhysicalSciences.CW.FP/TONS,2024-01-08 00:00:00,D,72.294279166,Chilled Water,2024-01-14,54.815379166,2138.076260416,517.34375,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-08 00:00:00,D,2016.493541666,Steam,2024-01-15,64.762008437,3011.681989583,518.896875,
PhysicalSciences.CW.FP/TONS,2024-01-09 00:00:00,D,72.605045833,Chilled Water,2024-01-16,62.806222916,2825.954812500,551.2677083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-09 00:00:00,D,1866.858250000,Steam,2024-01-17,63.867344791,3148.297677083,574.1510417,
PhysicalSciences.CW.FP/TONS,2024-01-10 00:00:00,D,44.544364583,Chilled Water,2024-01-18,66.407919148,2653.483312500,574.7166667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-10 00:00:00,D,1443.338795833,Steam,2024-01-19,66.304752291,2516.706062500,565.571875,
PhysicalSciences.CW.FP/TONS,2024-01-11 00:00:00,D,51.807741666,Chilled Water,2024-01-20,64.616715625,2973.413114583,550.253125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-11 00:00:00,D,1723.011781250,Steam,2024-01-21,64.857767708,2731.395406250,555.8416667,
PhysicalSciences.CW.FP/TONS,2024-01-12 00:00:00,D,56.380388541,Chilled Water,2024-01-22,65.286358541,2538.512677083,578.5552083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-12 00:00:00,D,1535.039864583,Steam,2024-01-23,67.666835520,1851.578958333,573.6708333,
PhysicalSciences.CW.FP/TONS,2024-01-13 00:00:00,D,57.908828125,Chilled Water,2024-01-24,63.163205416,1578.263233333,580.1979167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-13 00:00:00,D,1326.524012500,Steam,2024-01-25,64.486924895,1372.708786458,562.5677083,
PhysicalSciences.CW.FP/TONS,2024-01-14 00:00:00,D,54.815379166,Chilled Water,2024-01-26,72.658323958,1302.432836458,580.2458333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-14 00:00:00,D,2138.076260416,Steam,2024-01-27,60.058990625,1475.378979166,551.2364583,
PhysicalSciences.CW.FP/TONS,2024-01-15 00:00:00,D,64.762008437,Chilled Water,2024-01-28,62.344492708,1421.678760416,560.9864583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-15 00:00:00,D,3011.681989583,Steam,2024-01-29,59.486018437,2194.788229166,583.86875,
PhysicalSciences.CW.FP/TONS,2024-01-16 00:00:00,D,62.806222916,Chilled Water,2024-01-30,59.103223437,2274.781104166,591.5614583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-16 00:00:00,D,2825.954812500,Steam,2024-01-31,58.642310729,1883.116020833,582.9104167,
PhysicalSciences.CW.FP/TONS,2024-01-17 00:00:00,D,63.867344791,Chilled Water,2024-02-01,60.961016842,1760.840270833,576.578125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-17 00:00:00,D,3148.297677083,Steam,2024-02-02,66.841573958,1738.530177083,572.6708333,
PhysicalSciences.CW.FP/TONS,2024-01-18 00:00:00,D,66.407919148,Chilled Water,2024-02-03,62.758468750,1873.119916666,551.690625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-18 00:00:00,D,2653.483312500,Steam,2024-02-04,60.503980208,1892.752104166,545.6041667,
PhysicalSciences.CW.FP/TONS,2024-01-19 00:00:00,D,66.304752291,Chilled Water,2024-02-05,70.005976041,2003.474750000,568.6291667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-19 00:00:00,D,2516.706062500,Steam,2024-02-06,70.675914583,2425.098333333,577.403125,
PhysicalSciences.CW.FP/TONS,2024-01-20 00:00:00,D,64.616715625,Chilled Water,2024-02-07,68.944062500,2135.124604166,575.5072917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-20 00:00:00,D,2973.413114583,Steam,2024-02-08,68.765111702,1643.320166666,585.16875,
PhysicalSciences.CW.FP/TONS,2024-01-21 00:00:00,D,64.857767708,Chilled Water,2024-02-09,105.301039583,1394.957398958,573.4552083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-21 00:00:00,D,2731.395406250,Steam,2024-02-10,75.475991666,1132.822435416,549.3572917,
PhysicalSciences.CW.FP/TONS,2024-01-22 00:00:00,D,65.286358541,Chilled Water,2024-02-11,75.671239583,1388.109989583,539.50625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-22 00:00:00,D,2538.512677083,Steam,2024-02-12,75.304024731,1869.864427083,559.3770833,
PhysicalSciences.CW.FP/TONS,2024-01-23 00:00:00,D,67.666835520,Chilled Water,2024-02-13,70.996922105,2100.680260416,578.8125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-23 00:00:00,D,1851.578958333,Steam,2024-02-14,71.829715789,2634.183781250,586.4916667,
PhysicalSciences.CW.FP/TONS,2024-01-24 00:00:00,D,63.163205416,Chilled Water,2024-02-15,76.643338541,2572.511250000,588.0565341,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-24 00:00:00,D,1578.263233333,Steam,2024-02-16,75.727809375,2119.318572916,581.7237132,
PhysicalSciences.CW.FP/TONS,2024-01-25 00:00:00,D,64.486924895,Chilled Water,2024-02-17,73.879621875,2324.174718750,559.6239583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-25 00:00:00,D,1372.708786458,Steam,2024-02-18,72.727804255,2571.584687500,557.4635417,
PhysicalSciences.CW.FP/TONS,2024-01-26 00:00:00,D,72.658323958,Chilled Water,2024-02-19,70.851090625,2574.854718750,561.7166667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-26 00:00:00,D,1302.432836458,Steam,2024-02-20,70.753663541,2874.483739583,573.7525085,
PhysicalSciences.CW.FP/TONS,2024-01-27 00:00:00,D,60.058990625,Chilled Water,2024-02-21,77.789796875,1850.311822916,578.6291667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-27 00:00:00,D,1475.378979166,Steam,2024-02-22,76.252104166,1810.169593750,581.2447917,
PhysicalSciences.CW.FP/TONS,2024-01-28 00:00:00,D,62.344492708,Chilled Water,2024-02-23,75.216334375,1509.341510416,595.4822917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-28 00:00:00,D,1421.678760416,Steam,2024-02-24,74.229868539,2266.186895833,592.3354167,
PhysicalSciences.CW.FP/TONS,2024-01-29 00:00:00,D,59.486018437,Chilled Water,2024-02-25,73.443325000,2394.858993750,589.7339904,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-29 00:00:00,D,2194.788229166,Steam,2024-02-26,86.065631578,1459.344895833,596.58125,
PhysicalSciences.CW.FP/TONS,2024-01-30 00:00:00,D,59.103223437,Chilled Water,2024-02-27,120.692101041,1358.773004166,583.6208333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-30 00:00:00,D,2274.781104166,Steam,2024-02-28,97.806117708,1226.539060416,571.2354167,
PhysicalSciences.CW.FP/TONS,2024-01-31 00:00:00,D,58.642310729,Chilled Water,2024-02-29,79.440633333,2634.211614583,569.215625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-01-31 00:00:00,D,1883.116020833,Steam,2024-03-01,74.857994791,2224.364177083,571.3125,
PhysicalSciences.CW.FP/TONS,2024-02-01 00:00:00,D,60.961016842,Chilled Water,2024-03-02,73.752803125,1273.909552083,568.7239583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-01 00:00:00,D,1760.840270833,Steam,2024-03-03,74.311850000,1190.262134375,571.3916667,
PhysicalSciences.CW.FP/TONS,2024-02-02 00:00:00,D,66.841573958,Chilled Water,2024-03-04,133.890273958,1365.918072916,574.503125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-02 00:00:00,D,1738.530177083,Steam,2024-03-05,86.997728125,1407.074930208,588.9145833,
PhysicalSciences.CW.FP/TONS,2024-02-03 00:00:00,D,62.758468750,Chilled Water,2024-03-06,72.133607291,1321.016871875,576.5083333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-03 00:00:00,D,1873.119916666,Steam,2024-03-07,70.199810416,1705.220583333,575.0333333,
PhysicalSciences.CW.FP/TONS,2024-02-04 00:00:00,D,60.503980208,Chilled Water,2024-03-08,95.401106593,1780.653343750,578.9395833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-04 00:00:00,D,1892.752104166,Steam,2024-03-09,67.850261458,1304.558410416,583.803125,
PhysicalSciences.CW.FP/TONS,2024-02-05 00:00:00,D,70.005976041,Chilled Water,2024-03-10,71.176856250,1639.256000000,583.9822917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-05 00:00:00,D,2003.474750000,Steam,2024-03-11,76.999457291,2163.295375000,604.0135417,
PhysicalSciences.CW.FP/TONS,2024-02-06 00:00:00,D,70.675914583,Chilled Water,2024-03-12,93.839389583,1516.877708333,594.33125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-06 00:00:00,D,2425.098333333,Steam,2024-03-13,147.942605208,1371.043218750,566.821875,
PhysicalSciences.CW.FP/TONS,2024-02-07 00:00:00,D,68.944062500,Chilled Water,2024-03-14,127.421167708,1407.327210416,564.4635417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-07 00:00:00,D,2135.124604166,Steam,2024-03-15,77.147943750,1355.006987500,591.3,
PhysicalSciences.CW.FP/TONS,2024-02-08 00:00:00,D,68.765111702,Chilled Water,2024-03-16,76.591067368,1249.871420833,589.9114583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-08 00:00:00,D,1643.320166666,Steam,2024-03-17,65.403667708,1179.999762500,585.646875,
PhysicalSciences.CW.FP/TONS,2024-02-09 00:00:00,D,105.301039583,Chilled Water,2024-03-18,65.591532291,2003.676656250,584.1791667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-09 00:00:00,D,1394.957398958,Steam,2024-03-19,70.909115625,2210.943958333,582.821875,
PhysicalSciences.CW.FP/TONS,2024-02-10 00:00:00,D,75.475991666,Chilled Water,2024-03-20,69.005637894,1906.575281250,568.3416667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-10 00:00:00,D,1132.822435416,Steam,2024-03-21,68.437856250,2813.082177083,572.7677083,
PhysicalSciences.CW.FP/TONS,2024-02-11 00:00:00,D,75.671239583,Chilled Water,2024-03-22,62.744283157,2612.533166666,568.9364583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-11 00:00:00,D,1388.109989583,Steam,2024-03-23,67.375834375,2211.262489583,542.3375,
PhysicalSciences.CW.FP/TONS,2024-02-12 00:00:00,D,75.304024731,Chilled Water,2024-03-24,67.643914736,2261.141583333,544.346875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-12 00:00:00,D,1869.864427083,Steam,2024-03-25,74.870422916,2060.813510416,557.4864583,
PhysicalSciences.CW.FP/TONS,2024-02-13 00:00:00,D,70.996922105,Chilled Water,2024-03-26,93.888713829,1551.326145833,565.1791667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-13 00:00:00,D,2100.680260416,Steam,2024-03-27,87.464185416,1400.968254166,564.1229167,
PhysicalSciences.CW.FP/TONS,2024-02-14 00:00:00,D,71.829715789,Chilled Water,2024-03-28,70.599302500,1049.118414583,561.78125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-14 00:00:00,D,2634.183781250,Steam,2024-03-29,71.368510416,1049.118414583,576.85625,
PhysicalSciences.CW.FP/TONS,2024-02-15 00:00:00,D,76.643338541,Chilled Water,2024-03-30,73.877347916,1049.118414584,563.4489583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-15 00:00:00,D,2572.511250000,Steam,2024-03-31,75.182891666,70.361396875,577.8302083,
PhysicalSciences.CW.FP/TONS,2024-02-16 00:00:00,D,75.727809375,Chilled Water,2024-04-01,83.467288541,70.361396875,579.4010417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-16 00:00:00,D,2119.318572916,Steam,2024-04-02,74.914277083,1291.126464583,580.6791667,
PhysicalSciences.CW.FP/TONS,2024-02-17 00:00:00,D,73.879621875,Chilled Water,2024-04-03,75.785104347,1229.857032978,576.9709005,
