name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (Tons),Electric (kW),Steam (lbs/hr)
UrisLibrary.CW.FP/TONS,2024-01-02 00:00:00,D,4.018492187,Chilled Water,2024-01-02,4.018492187,72.312500000,780.948678125
UrisLibrary.Elec.PowerScout3/kWsystem,2024-01-02 00:00:00,D,72.312500000,Electric,2024-01-03,3.944103541,79.457291666,722.793889583
UrisLibrary.STM.M22-V/AverageMassFlow,2024-01-02 00:00:00,D,780.948678125,Steam,2024-01-04,4.243463541,79.575000000,754.672627083
UrisLibrary.CW.FP/TONS,2024-01-03 00:00:00,D,3.944103541,Chilled Water,2024-01-05,3.013779687,79.045833333,870.616691666
UrisLibrary.Elec.PowerScout3/kWsystem,2024-01-03 00:00:00,D,79.457291666,Electric,2024-01-06,2.957980937,61.840625000,900.825757291
UrisLibrary.STM.M22-V/AverageMassFlow,2024-01-03 00:00:00,D,722.793889583,Steam,2024-01-07,3.600984895,63.396875000,832.257391666
UrisLibrary.CW.FP/TONS,2024-01-04 00:00:00,D,4.243463541,Chilled Water,2024-01-08,3.858935729,76.896875000,734.170247916
UrisLibrary.Elec.PowerScout3/kWsystem,2024-01-04 00:00:00,D,79.575000000,Electric,2024-01-09,4.155076041,78.370833333,695.880332291
UrisLibrary.STM.M22-V/AverageMassFlow,2024-01-04 00:00:00,D,754.672627083,Steam,2024-01-10,11.011718645,77.921875000,615.520248958
UrisLibrary.CW.FP/TONS,2024-01-05 00:00:00,D,3.013779687,Chilled Water,2024-01-11,3.903579583,79.077083333,672.342240625
UrisLibrary.Elec.PowerScout3/kWsystem,2024-01-05 00:00:00,D,79.045833333,Electric,2024-01-12,7.201314270,78.754166666,619.158644791
UrisLibrary.STM.M22-V/AverageMassFlow,2024-01-05 00:00:00,D,870.616691666,Steam,2024-01-13,8.990528125,61.028125000,628.630272916
UrisLibrary.CW.FP/TONS,2024-01-06 00:00:00,D,2.957980937,Chilled Water,2024-01-14,3.601052708,65.567708333,879.289453125
UrisLibrary.Elec.PowerScout3/kWsystem,2024-01-06 00:00:00,D,61.840625000,Electric,2024-01-15,2.295665208,54.346875000,1037.977763541
UrisLibrary.STM.M22-V/AverageMassFlow,2024-01-06 00:00:00,D,900.825757291,Steam,2024-01-16,2.809447812,75.795833333,981.836314583
UrisLibrary.CW.FP/TONS,2024-01-07 00:00:00,D,3.600984895,Chilled Water,2024-01-17,1.799732708,79.630208333,1069.310586458
UrisLibrary.Elec.PowerScout3/kWsystem,2024-01-07 00:00:00,D,63.396875000,Electric,2024-01-18,2.441139270,78.809375000,994.592259375
UrisLibrary.STM.M22-V/AverageMassFlow,2024-01-07 00:00:00,D,832.257391666,Steam,2024-01-19,2.892568229,75.696875000,970.524537500
UrisLibrary.CW.FP/TONS,2024-01-08 00:00:00,D,3.858935729,Chilled Water,2024-01-20,1.970768333,62.319791666,1156.107062500
UrisLibrary.Elec.PowerScout3/kWsystem,2024-01-08 00:00:00,D,76.896875000,Electric,2024-01-21,2.136648020,61.748958333,1172.285454166
UrisLibrary.STM.M22-V/AverageMassFlow,2024-01-08 00:00:00,D,734.170247916,Steam,2024-01-22,2.613908645,81.511458333,982.653251041
UrisLibrary.CW.FP/TONS,2024-01-09 00:00:00,D,4.155076041,Chilled Water,2024-01-23,3.972198645,89.117708333,724.154741666
